municipality,year,reference_period,value
Mariagerfjord,2015,2015Q1,42134
Mariagerfjord,2019,2019Q1,42055
Mariagerfjord,2022,2022Q1,41662
Mariagerfjord,2024,2024M01,41762
Mariagerfjord,2026,2026M02,41554
Middelfart,2007,2008Q1,37274
Middelfart,2011,2011Q1,37701
Middelfart,2015,2015Q1,37857
Middelfart,2019,2019Q1,38553
Middelfart,2022,2022Q1,39603
Middelfart,2024,2024M01,40158
Middelfart,2026,2026M02,40616
Morsø,2007,2008Q1,22091
Morsø,2011,2011Q1,21600
Morsø,2015,2015Q1,20816
Morsø,2019,2019Q1,20403
Morsø,2022,2022Q1,20068
Morsø,2024,2024M01,19734
Morsø,2026,2026M02,19345
Norddjurs,2007,2008Q1,38581
Norddjurs,2011,2011Q1,38029
Norddjurs,2015,2015Q1,37898
Norddjurs,2019,2019Q1,37680
Norddjurs,2022,2022Q1,36921
Norddjurs,2024,2024M01,36773
Norddjurs,2026,2026M02,36503
Nordfyns,2007,2008Q1,29470
Nordfyns,2011,2011Q1,29507
Nordfyns,2015,2015Q1,29030
Nordfyns,2019,2019Q1,29693
Nordfyns,2022,2022Q1,29714
Nordfyns,2024,2024M01,29610
Nordfyns,2026,2026M02,29167
Nyborg,2007,2008Q1,31607
Nyborg,2011,2011Q1,31499
Nyborg,2015,2015Q1,31573
Nyborg,2019,2019Q1,32042
Nyborg,2022,2022Q1,32098
Nyborg,2024,2024M01,32193
Nyborg,2026,2026M02,32385
Næstved,2007,2008Q1,80732
Næstved,2011,2011Q1,80963
Næstved,2015,2015Q1,81687
Næstved,2019,2019Q1,82991
Næstved,2022,2022Q1,83801
Næstved,2024,2024M01,84747
Næstved,2026,2026M02,85185
Odder,2007,2008Q1,21562
Odder,2011,2011Q1,21852
Odder,2015,2015Q1,21928
Odder,2019,2019Q1,22675
Odder,2022,2022Q1,23304
Odder,2024,2024M01,23896
Odder,2026,2026M02,24328
Odense,2007,2008Q1,186932
Odense,2011,2011Q1,190245
Odense,2015,2015Q1,197480
Odense,2019,2019Q1,204182
Odense,2022,2022Q1,205978
Odense,2024,2024M01,209078
Odense,2026,2026M02,213287
Odsherred,2007,2008Q1,33129
Odsherred,2011,2011Q1,32845
Odsherred,2015,2015Q1,32665
Odsherred,2019,2019Q1,33122
Odsherred,2022,2022Q1,32881
Odsherred,2024,2024M01,32605
Odsherred,2026,2026M02,31922
Randers,2007,2008Q1,93644
Randers,2011,2011Q1,95318
Randers,2015,2015Q1,96800
Randers,2019,2019Q1,97909
Randers,2022,2022Q1,98988
Randers,2024,2024M01,99974
Randers,2026,2026M02,100611
Rebild,2007,2008Q1,28753
Rebild,2011,2011Q1,28940
Rebild,2015,2015Q1,28859
Rebild,2019,2019Q1,29916
Rebild,2022,2022Q1,30646
Rebild,2024,2024M01,30937
Rebild,2026,2026M02,31270
Ringkøbing-Skjern,2007,2008Q1,58368
Ringkøbing-Skjern,2011,2011Q1,58068
Ringkøbing-Skjern,2015,2015Q1,57042
Ringkøbing-Skjern,2019,2019Q1,56930
Ringkøbing-Skjern,2022,2022Q1,56203
Ringkøbing-Skjern,2024,2024M01,56218
Ringkøbing-Skjern,2026,2026M02,55326
Ringsted,2007,2008Q1,32092
Ringsted,2011,2011Q1,32890
Ringsted,2015,2015Q1,33573
Ringsted,2019,2019Q1,34725
Ringsted,2022,2022Q1,35141
Ringsted,2024,2024M01,36356
Ringsted,2026,2026M02,36016
Roskilde,2007,2008Q1,80687
Roskilde,2011,2011Q1,82542
Roskilde,2015,2015Q1,85026
Roskilde,2019,2019Q1,87577
Roskilde,2022,2022Q1,89447
Roskilde,2024,2024M01,90931
Roskilde,2026,2026M02,92733
Rudersdal,2007,2008Q1,53869
Rudersdal,2011,2011Q1,54765
Rudersdal,2015,2015Q1,55441
Rudersdal,2019,2019Q1,56509
Rudersdal,2022,2022Q1,57247
Rudersdal,2024,2024M01,57237
Rudersdal,2026,2026M02,57966
Rødovre,2007,2008Q1,36144
Rødovre,2011,2011Q1,36524
Rødovre,2015,2015Q1,37743
Rødovre,2019,2019Q1,40052
Rødovre,2022,2022Q1,41382
Rødovre,2024,2024M01,44328
Rødovre,2026,2026M02,45108
Samsø,2007,2008Q1,4085
Samsø,2011,2011Q1,3885
Samsø,2015,2015Q1,3733
Samsø,2019,2019Q1,3684
Samsø,2022,2022Q1,3716
Samsø,2024,2024M01,3694
Samsø,2026,2026M02,3625
Silkeborg,2007,2008Q1,87371
Silkeborg,2011,2011Q1,88913
Silkeborg,2015,2015Q1,90016
Silkeborg,2019,2019Q1,93054
Silkeborg,2022,2022Q1,97358
Silkeborg,2024,2024M01,100747
Silkeborg,2026,2026M02,102881
Skanderborg,2007,2008Q1,56044
Skanderborg,2011,2011Q1,57717
Skanderborg,2015,2015Q1,58782
Skanderborg,2019,2019Q1,61974
Skanderborg,2022,2022Q1,64318
Skanderborg,2024,2024M01,65205
Skanderborg,2026,2026M02,66341
Skive,2007,2008Q1,48356
Skive,2011,2011Q1,47986
Skive,2015,2015Q1,46641
Skive,2019,2019Q1,46224
Skive,2022,2022Q1,45078
Skive,2024,2024M01,44739
Skive,2026,2026M02,44090
Slagelse,2007,2008Q1,77457
Slagelse,2011,2011Q1,77442
Slagelse,2015,2015Q1,77293
Slagelse,2019,2019Q1,79073
Slagelse,2022,2022Q1,79691
Slagelse,2024,2024M01,79923
Slagelse,2026,2026M02,80910
Solrød,2007,2008Q1,20759
Solrød,2011,2011Q1,20964
Solrød,2015,2015Q1,21552
Solrød,2019,2019Q1,23065
Solrød,2022,2022Q1,23794
Solrød,2024,2024M01,24579
Solrød,2026,2026M02,25051
Sorø,2007,2008Q1,29180
Sorø,2011,2011Q1,29499
Sorø,2015,2015Q1,29331
Sorø,2019,2019Q1,29834
Sorø,2022,2022Q1,30018
Sorø,2024,2024M01,30478
Sorø,2026,2026M02,30884
Stevns,2007,2008Q1,21892
Stevns,2011,2011Q1,21855
Stevns,2015,2015Q1,22038
Stevns,2019,2019Q1,22782
Stevns,2022,2022Q1,23473
Stevns,2024,2024M01,23649
Stevns,2026,2026M02,23857
Struer,2007,2008Q1,22672
Struer,2011,2011Q1,22190
Struer,2015,2015Q1,21439
Struer,2019,2019Q1,21143
Struer,2022,2022Q1,20802
Struer,2024,2024M01,20594
Struer,2026,2026M02,20109
Svendborg,2007,2008Q1,59040
Svendborg,2011,2011Q1,58713
Svendborg,2015,2015Q1,57988
Svendborg,2019,2019Q1,58599
Svendborg,2022,2022Q1,59193
Svendborg,2024,2024M01,59727
Svendborg,2026,2026M02,60083
Syddjurs,2007,2008Q1,41281
Syddjurs,2011,2011Q1,41734
Syddjurs,2015,2015Q1,41652
Syddjurs,2019,2019Q1,42768
Syddjurs,2022,2022Q1,43596
Syddjurs,2024,2024M01,44076
Syddjurs,2026,2026M02,44402
Sønderborg,2007,2008Q1,76913
Sønderborg,2011,2011Q1,76193
Sønderborg,2015,2015Q1,74937
Sønderborg,2019,2019Q1,74561
Sønderborg,2022,2022Q1,73711
Sønderborg,2024,2024M01,74233
Sønderborg,2026,2026M02,74049
Thisted,2007,2008Q1,45549
Thisted,2011,2011Q1,45145
Thisted,2015,2015Q1,44078
Thisted,2019,2019Q1,43660
Thisted,2022,2022Q1,43089
Thisted,2024,2024M01,42989
Thisted,2026,2026M02,42590
Tårnby,2007,2008Q1,40016
Tårnby,2011,2011Q1,40835
Tårnby,2015,2015Q1,42573
Tårnby,2019,2019Q1,42984
Tårnby,2022,2022Q1,42723
Tårnby,2024,2024M01,43915
Tårnby,2026,2026M02,44263
Tønder,2007,2008Q1,40367
Tønder,2011,2011Q1,39464
Tønder,2015,2015Q1,38010
Tønder,2019,2019Q1,37587
Tønder,2022,2022Q1,36849
Tønder,2024,2024M01,36651
Tønder,2026,2026M02,36183
Vallensbæk,2007,2008Q1,12399
Vallensbæk,2011,2011Q1,14445
Vallensbæk,2015,2015Q1,15204
Vallensbæk,2019,2019Q1,16654
Vallensbæk,2022,2022Q1,16488
Vallensbæk,2024,2024M01,17800
Vallensbæk,2026,2026M02,18710
Varde,2007,2008Q1,50125
Varde,2011,2011Q1,50351
Varde,2015,2015Q1,50122
Varde,2019,2019Q1,50129
Varde,2022,2022Q1,49664
Varde,2024,2024M01,49798
Varde,2026,2026M02,49383
Vejen,2007,2008Q1,42447
Vejen,2011,2011Q1,42683
Vejen,2015,2015Q1,42601
Vejen,2019,2019Q1,42863
Vejen,2022,2022Q1,42596
Vejen,2024,2024M01,42800
Vejen,2026,2026M02,42637
Vejle,2007,2008Q1,104933
Vejle,2011,2011Q1,107218
Vejle,2015,2015Q1,110471
Vejle,2019,2019Q1,114830
Vejle,2022,2022Q1,119060
Vejle,2024,2024M01,121696
Vejle,2026,2026M02,123306
Vesthimmerlands,2007,2008Q1,38277
Vesthimmerlands,2011,2011Q1,37864
Vesthimmerlands,2015,2015Q1,37399
Vesthimmerlands,2019,2019Q1,37121
Vesthimmerlands,2022,2022Q1,36326
Vesthimmerlands,2024,2024M01,36012
Vesthimmerlands,2026,2026M02,35617
Viborg,2007,2008Q1,92084
Viborg,2011,2011Q1,93498
Viborg,2015,2015Q1,94985
Viborg,2019,2019Q1,97113
Viborg,2022,2022Q1,96847
Viborg,2024,2024M01,97472
Viborg,2026,2026M02,97941
Vordingborg,2007,2008Q1,46600
Vordingborg,2011,2011Q1,46170
Vordingborg,2015,2015Q1,45471
Vordingborg,2019,2019Q1,45816
Vordingborg,2022,2022Q1,45352
Vordingborg,2024,2024M01,45751
Vordingborg,2026,2026M02,44832
Ærø,2007,2008Q1,6712
Ærø,2011,2011Q1,6663
Ærø,2015,2015Q1,6276
Ærø,2019,2019Q1,6058
Ærø,2022,2022Q1,6025
Ærø,2024,2024M01,5960
Ærø,2026,2026M02,5770
