municipality,year,value
Odense,1993,95503
Odsherred,1993,98069
Randers,1993,95214
Rebild,1993,97887
Ringkøbing-Skjern,1993,98796
Ringsted,1993,100210
Roskilde,1993,109965
Rudersdal,1993,136778
Rødovre,1993,102676
Samsø,1993,89006
Silkeborg,1993,103283
Skanderborg,1993,102820
Skive,1993,96325
Slagelse,1993,99022
Solrød,1993,121631
Sorø,1993,97579
Stevns,1993,104588
Struer,1993,97326
Svendborg,1993,96131
Syddjurs,1993,99025
Sønderborg,1993,99621
Thisted,1993,94366
Tårnby,1993,107567
Tønder,1993,97210
Vallensbæk,1993,120595
Varde,1993,99777
Vejen,1993,96738
Vejle,1993,99288
Vesthimmerlands,1993,92609
Viborg,1993,97300
Vordingborg,1993,95643
Ærø,1993,93505
Aabenraa,1994,106857
Aalborg,1994,103276
Aarhus,1994,105902
Albertslund,1994,108465
Allerød,1994,132346
Assens,1994,102598
Ballerup,1994,112852
Billund,1994,111923
Bornholm,1994,99348
Brøndby,1994,107478
Brønderslev,1994,99599
Copenhagen,1994,97883
Dragør,1994,130163
Egedal,1994,125499
Esbjerg,1994,107038
Faaborg-Midtfyn,1994,103547
Fanø,1994,116041
Favrskov,1994,109774
Faxe,1994,106611
Fredensborg,1994,122754
Fredericia,1994,107085
Frederiksberg,1994,115211
Frederikshavn,1994,105154
Frederikssund,1994,114414
Furesø,1994,133881
Gentofte,1994,147438
Gladsaxe,1994,111494
Glostrup,1994,111225
Greve,1994,123032
Gribskov,1994,116258
Guldborgsund,1994,100092
Haderslev,1994,103410
Halsnæs,1994,107621
Hedensted,1994,108417
Helsingør,1994,112154
Herlev,1994,110658
Herning,1994,108321
Hillerød,1994,120487
Hjørring,1994,103595
Holbæk,1994,107601
Holstebro,1994,107402
Horsens,1994,105214
Hvidovre,1994,108493
Høje-Taastrup,1994,113599
Hørsholm,1994,149683
Ikast-Brande,1994,104964
Ishøj,1994,107942
Jammerbugt,1994,101568
Kalundborg,1994,107082
Kerteminde,1994,108167
Kolding,1994,107243
Køge,1994,112801
Langeland,1994,96196
Lejre,1994,122269
Lemvig,1994,103874
Lolland,1994,96888
Lyngby-Taarbæk,1994,130037
Læsø,1994,98880
Mariagerfjord,1994,102124
Middelfart,1994,105661
Morsø,1994,100267
Norddjurs,1994,102788
Nordfyns,1994,102877
Nyborg,1994,102618
Næstved,1994,106325
Odder,1994,108187
Odense,1994,101683
Odsherred,1994,104420
Randers,1994,102619
Rebild,1994,105508
Ringkøbing-Skjern,1994,106738
Ringsted,1994,108173
Roskilde,1994,117582
Rudersdal,1994,136239
Rødovre,1994,109599
Samsø,1994,96515
Silkeborg,1994,110616
Skanderborg,1994,111089
Skive,1994,103319
Slagelse,1994,105459
Solrød,1994,127616
Sorø,1994,104831
Stevns,1994,111867
Struer,1994,103946
Svendborg,1994,102430
Syddjurs,1994,104095
Sønderborg,1994,106628
Thisted,1994,101091
Tårnby,1994,115017
Tønder,1994,104594
Vallensbæk,1994,129534
Varde,1994,107113
Vejen,1994,103383
Vejle,1994,107541
Vesthimmerlands,1994,100566
Viborg,1994,104939
Vordingborg,1994,102384
Ærø,1994,101073
Aabenraa,1995,112193
Aalborg,1995,107745
Aarhus,1995,111286
Albertslund,1995,112856
Allerød,1995,138881
Assens,1995,107059
Ballerup,1995,117453
Billund,1995,116595
Bornholm,1995,103245
Brøndby,1995,110050
Brønderslev,1995,104067
Copenhagen,1995,101758
Dragør,1995,137056
Egedal,1995,131844
Esbjerg,1995,111764
Faaborg-Midtfyn,1995,107915
Fanø,1995,122728
Favrskov,1995,113757
Faxe,1995,111233
Fredensborg,1995,129645
Fredericia,1995,112810
Frederiksberg,1995,120801
Frederikshavn,1995,108510
Frederikssund,1995,120521
Furesø,1995,141864
Gentofte,1995,155250
Gladsaxe,1995,116897
Glostrup,1995,116190
Greve,1995,129219
Gribskov,1995,120624
Guldborgsund,1995,104034
Haderslev,1995,108227
Halsnæs,1995,112511
Hedensted,1995,113649
Helsingør,1995,117483
Herlev,1995,115151
Herning,1995,114172
Hillerød,1995,125724
Hjørring,1995,107130
Holbæk,1995,111536
Holstebro,1995,112064
Horsens,1995,110085
Hvidovre,1995,111662
Høje-Taastrup,1995,118443
Hørsholm,1995,165865
Ikast-Brande,1995,109970
Ishøj,1995,111783
Jammerbugt,1995,106072
Kalundborg,1995,111553
Kerteminde,1995,112894
Kolding,1995,112814
Køge,1995,118468
Langeland,1995,100457
Lejre,1995,128253
Lemvig,1995,109433
Lolland,1995,99780
Lyngby-Taarbæk,1995,135100
Læsø,1995,102846
Mariagerfjord,1995,106471
Middelfart,1995,111008
Morsø,1995,103837
Norddjurs,1995,107833
Nordfyns,1995,107524
Nyborg,1995,107531
Næstved,1995,110577
Odder,1995,114477
Odense,1995,106172
Odsherred,1995,107405
Randers,1995,107324
Rebild,1995,109694
Ringkøbing-Skjern,1995,112773
Ringsted,1995,113901
Roskilde,1995,124667
Rudersdal,1995,156140
Rødovre,1995,113229
Samsø,1995,104217
Silkeborg,1995,116161
Skanderborg,1995,117234
Skive,1995,107595
Slagelse,1995,110078
Solrød,1995,133983
Sorø,1995,110071
Stevns,1995,116517
Struer,1995,110258
Svendborg,1995,106328
Syddjurs,1995,112004
Sønderborg,1995,111865
Thisted,1995,105388
Tårnby,1995,119115
Tønder,1995,109233
Vallensbæk,1995,133356
Varde,1995,112421
Vejen,1995,108693
Vejle,1995,113225
Vesthimmerlands,1995,104616
Viborg,1995,109841
Vordingborg,1995,105398
Ærø,1995,106059
Aabenraa,1996,116622
Aalborg,1996,111852
Aarhus,1996,115348
Albertslund,1996,116396
Allerød,1996,144199
Assens,1996,110849
Ballerup,1996,121686
Billund,1996,120036
Bornholm,1996,105346
Brøndby,1996,113460
Brønderslev,1996,108457
Copenhagen,1996,106144
Dragør,1996,145144
Egedal,1996,137443
Esbjerg,1996,115801
Faaborg-Midtfyn,1996,111518
Fanø,1996,127568
Favrskov,1996,118756
Faxe,1996,115410
Fredensborg,1996,135416
Fredericia,1996,117020
Frederiksberg,1996,127212
Frederikshavn,1996,112610
Frederikssund,1996,125488
Furesø,1996,147201
Gentofte,1996,166672
Gladsaxe,1996,121459
Glostrup,1996,120267
Greve,1996,134895
Gribskov,1996,124833
Guldborgsund,1996,107774
Haderslev,1996,112602
Halsnæs,1996,116586
Hedensted,1996,117846
Helsingør,1996,122826
Herlev,1996,119272
Herning,1996,117492
Hillerød,1996,130078
Hjørring,1996,111521
Holbæk,1996,116027
Holstebro,1996,116313
Horsens,1996,113021
Hvidovre,1996,115867
Høje-Taastrup,1996,122826
Hørsholm,1996,175005
Ikast-Brande,1996,113588
Ishøj,1996,115655
Jammerbugt,1996,110633
Kalundborg,1996,114880
Kerteminde,1996,116633
Kolding,1996,117269
Køge,1996,123261
Langeland,1996,104059
Lejre,1996,133698
Lemvig,1996,113335
Lolland,1996,102805
Lyngby-Taarbæk,1996,143138
Læsø,1996,108234
Mariagerfjord,1996,110469
Middelfart,1996,115601
Morsø,1996,108570
Norddjurs,1996,111563
Nordfyns,1996,110704
Nyborg,1996,110688
Næstved,1996,114362
Odder,1996,118816
Odense,1996,109910
Odsherred,1996,111578
Randers,1996,111908
Rebild,1996,113250
Ringkøbing-Skjern,1996,115759
Ringsted,1996,118005
Roskilde,1996,129608
Rudersdal,1996,166804
Rødovre,1996,117083
Samsø,1996,107634
Silkeborg,1996,123309
Skanderborg,1996,122430
Skive,1996,112863
Slagelse,1996,113466
Solrød,1996,140708
Sorø,1996,114716
Stevns,1996,120507
Struer,1996,115166
Svendborg,1996,110973
Syddjurs,1996,116489
Sønderborg,1996,115977
Thisted,1996,109062
Tårnby,1996,123870
Tønder,1996,112734
Vallensbæk,1996,139569
Varde,1996,116851
Vejen,1996,112148
Vejle,1996,117661
Vesthimmerlands,1996,107918
Viborg,1996,113670
Vordingborg,1996,109236
Ærø,1996,107946
Aabenraa,1997,120183
Aalborg,1997,116150
Aarhus,1997,119995
Albertslund,1997,120198
Allerød,1997,153380
Assens,1997,115546
Ballerup,1997,125963
Billund,1997,123888
Bornholm,1997,108888
Brøndby,1997,117849
Brønderslev,1997,113089
Copenhagen,1997,109450
Dragør,1997,150963
Egedal,1997,144329
Esbjerg,1997,121431
Faaborg-Midtfyn,1997,115600
Fanø,1997,131321
Favrskov,1997,123135
Faxe,1997,119189
Fredensborg,1997,153349
Fredericia,1997,121115
Frederiksberg,1997,131103
Frederikshavn,1997,116842
Frederikssund,1997,131898
Furesø,1997,155126
Gentofte,1997,178773
Gladsaxe,1997,127724
Glostrup,1997,124938
Greve,1997,142924
Gribskov,1997,130776
Guldborgsund,1997,110901
Haderslev,1997,116191
Halsnæs,1997,120473
Hedensted,1997,123349
Helsingør,1997,127841
Herlev,1997,124169
Herning,1997,122719
Hillerød,1997,136190
Hjørring,1997,115255
Holbæk,1997,120688
Holstebro,1997,120554
Horsens,1997,118328
Hvidovre,1997,120374
Høje-Taastrup,1997,128682
Hørsholm,1997,190089
Ikast-Brande,1997,119148
Ishøj,1997,119542
Jammerbugt,1997,114387
Kalundborg,1997,118819
Kerteminde,1997,122029
Kolding,1997,123085
Køge,1997,128136
Langeland,1997,106069
Lejre,1997,139646
Lemvig,1997,118258
Lolland,1997,105417
Lyngby-Taarbæk,1997,152463
Læsø,1997,112368
Mariagerfjord,1997,115387
Middelfart,1997,120989
Morsø,1997,111771
Norddjurs,1997,114709
Nordfyns,1997,115178
Nyborg,1997,114666
Næstved,1997,118768
Odder,1997,123350
Odense,1997,114537
Odsherred,1997,114927
Randers,1997,115953
Rebild,1997,118242
Ringkøbing-Skjern,1997,120752
Ringsted,1997,122130
Roskilde,1997,136230
Rudersdal,1997,178605
Rødovre,1997,121541
Samsø,1997,109741
Silkeborg,1997,124794
Skanderborg,1997,128109
Skive,1997,115754
Slagelse,1997,117067
Solrød,1997,145765
Sorø,1997,118034
Stevns,1997,125590
Struer,1997,120412
Svendborg,1997,114515
Syddjurs,1997,120606
Sønderborg,1997,120192
Thisted,1997,114354
Tårnby,1997,127729
Tønder,1997,116135
Vallensbæk,1997,147366
Varde,1997,121002
Vejen,1997,116109
Vejle,1997,124396
Vesthimmerlands,1997,111817
Viborg,1997,118719
Vordingborg,1997,113195
Ærø,1997,112297
Aabenraa,1998,124994
Aalborg,1998,121478
Aarhus,1998,125176
Albertslund,1998,125918
Allerød,1998,161577
Assens,1998,120668
Ballerup,1998,132654
Billund,1998,130048
Bornholm,1998,113408
Brøndby,1998,123665
Brønderslev,1998,116230
Copenhagen,1998,115502
Dragør,1998,158566
Egedal,1998,151523
Esbjerg,1998,126184
Faaborg-Midtfyn,1998,120059
Fanø,1998,139591
Favrskov,1998,128796
Faxe,1998,125157
Fredensborg,1998,150204
Fredericia,1998,126527
Frederiksberg,1998,138973
Frederikshavn,1998,121397
Frederikssund,1998,134591
Furesø,1998,163613
Gentofte,1998,189353
Gladsaxe,1998,133566
Glostrup,1998,130884
Greve,1998,149391
Gribskov,1998,138028
Guldborgsund,1998,115187
Haderslev,1998,120168
Halsnæs,1998,125713
Hedensted,1998,128191
Helsingør,1998,135926
Herlev,1998,129825
Herning,1998,127903
Hillerød,1998,143334
Hjørring,1998,118900
Holbæk,1998,126355
Holstebro,1998,126564
Horsens,1998,123924
Hvidovre,1998,126266
Høje-Taastrup,1998,133718
Hørsholm,1998,199207
Ikast-Brande,1998,122490
Ishøj,1998,125217
Jammerbugt,1998,120542
Kalundborg,1998,123786
Kerteminde,1998,126932
Kolding,1998,128557
Køge,1998,134413
Langeland,1998,109661
Lejre,1998,145091
Lemvig,1998,122606
Lolland,1998,110012
Lyngby-Taarbæk,1998,158235
Læsø,1998,115348
Mariagerfjord,1998,119832
Middelfart,1998,126536
Morsø,1998,115321
Norddjurs,1998,118180
Nordfyns,1998,119949
Nyborg,1998,119612
Næstved,1998,124214
Odder,1998,130661
Odense,1998,120121
